epoch,lr,train_loss,val_det_acc@0.5,val_det_mean_iou,val_seg_mean_iou,val_seg_dice,val_cls_top1,val_cls_macro_f1,val_score
1,0.001,3.668717833840923,0.07500000298023224,0.17264984548091888,0.4721933192014694,0.5865529370307923,0.0975,0.030721747388414055,0.2530176466703415
2,0.001,3.1171077102612537,0.05999999865889549,0.17684881389141083,0.35717509806156156,0.45524202316999435,0.145,0.07655891810100246,0.22008067394296327
3,0.001,2.7057183684816786,0.06499999761581421,0.20224249362945557,0.5336874222755432,0.6506109929084778,0.1525,0.06153017170724869,0.289370330174764
4,0.001,2.5207070727257213,0.07999999821186066,0.21959346532821655,0.5487706977128982,0.664832398891449,0.1325,0.07224655067093717,0.29244413236776984
5,0.001,2.4232533099545037,0.07500000298023224,0.21783435344696045,0.5539613372087479,0.6658338701725006,0.17,0.0722355078635099,0.30361129105091095
6,0.001,2.330893378348867,0.04749999940395355,0.16139768064022064,0.6593870508670807,0.7525423038005828,0.1725,0.08569227700967567,0.32418076773484544
7,0.001,2.293622541579471,0.07999999821186066,0.19701717793941498,0.5763276827335357,0.6969689202308654,0.1025,0.03344738318160245,0.2931563061475754
8,0.001,2.202631828891244,0.07500000298023224,0.18475158512592316,0.5607035160064697,0.6614873147010804,0.235,0.17335401074755294,0.32382910589377084
9,0.001,2.064474523447122,0.07249999791383743,0.23321934044361115,0.6793774116039276,0.7830572104454041,0.3025,0.239714011125354,0.3860190694530805
10,0.001,1.8985632878200265,0.07249999791383743,0.23995883762836456,0.7504401445388794,0.8339603424072266,0.36,0.30467528128721993,0.42215344677368805
11,0.001,1.8870380509431195,0.08749999850988388,0.22376041114330292,0.6793519163131714,0.7780594253540039,0.235,0.20308724833816613,0.36685314128796254
12,0.001,1.7852466455690421,0.06750000268220901,0.23409543931484222,0.5972438764572143,0.6948473012447357,0.1875,0.08153716970106882,0.3166157679756482
13,0.001,1.687950816883403,0.08250000327825546,0.22396740317344666,0.7495295310020447,0.8306287550926208,0.325,0.28869180631404684,0.4127095861236254
14,0.001,1.6861195632606556,0.06750000268220901,0.19900459051132202,0.7425490200519562,0.8275433516502381,0.395,0.3803341289424715,0.43001445144414907
15,0.001,1.5887649051702706,0.07750000059604645,0.20126701891422272,0.7375886929035187,0.8227193522453308,0.5025,0.48293522441696657,0.46757311761379244
16,0.001,1.555969621725143,0.06750000268220901,0.1953325718641281,0.6809367775917053,0.765226479768753,0.2675,0.23086541999857269,0.36674216081698735
17,0.001,1.518234952999528,0.10499999672174454,0.23690906167030334,0.7061018800735473,0.789420018196106,0.445,0.4312455882523098,0.4464733383059502
18,0.001,1.4508960630483687,0.11749999970197678,0.22994236648082733,0.7131108319759369,0.7937589693069458,0.4325,0.4053645333787279,0.44791965633630754
19,0.001,1.4271246031591087,0.10499999672174454,0.23926770687103271,0.7521046900749206,0.8240666723251343,0.295,0.23166130561048429,0.4080222230156263
20,0.001,1.4019808924881516,0.07750000059604645,0.2436000406742096,0.7797882330417633,0.845034909248352,0.4625,0.4508637915139048,0.4616783032814662
21,0.001,1.4549354064236781,0.08250000327825546,0.20834043622016907,0.7427933812141418,0.8195451545715332,0.5375,0.5296312596429072,0.47984838594992957
22,0.001,1.289082618276025,0.07000000029802322,0.2043173462152481,0.7745687234401702,0.8436262583732606,0.43,0.39588490053254466,0.4478754195570946
23,0.001,1.308200508545918,0.09749999642372131,0.2485543042421341,0.7919819927215577,0.8556485557556153,0.51,0.49929224622595153,0.48771618405977885
24,0.001,1.2041006623559696,0.10000000149011612,0.2325485795736313,0.6976585781574249,0.788425042629242,0.37,0.3612083376873435,0.4194750147064527
25,0.001,1.2104639862753024,0.09000000357627869,0.22521579265594482,0.799879925251007,0.8646068429946899,0.3175,0.26051345723204544,0.4240356155236562
26,0.001,1.206522941209708,0.0625,0.2231760025024414,0.753105103969574,0.8247191977500915,0.55,0.5366201167695459,0.47907306591669724
27,0.001,1.1361238840658954,0.07999999821186066,0.20905406773090363,0.7885991430282593,0.8562249660491943,0.51,0.4981028844526073,0.4820749880870183
28,0.001,1.097766288906146,0.08250000327825546,0.2109222561120987,0.7752586853504181,0.8409901976585388,0.4775,0.4555484117296557,0.46699673364559807
29,0.001,1.058794228893936,0.0949999988079071,0.23945677280426025,0.791720118522644,0.8566099262237549,0.6375,0.6321812932034138,0.5297033083438873
30,0.001,1.0690061279163239,0.0949999988079071,0.2331574559211731,0.723271062374115,0.8044327044487,0.4175,0.38266866661603505,0.43897756775220237
31,0.001,1.082207300101116,0.11500000208616257,0.255070298910141,0.7913166189193725,0.8591337656974792,0.56,0.5579427669179221,0.5113779225945473
32,0.001,1.0417980099939237,0.12250000238418579,0.2542721629142761,0.8027298212051391,0.8637401103973389,0.4625,0.44632758128964606,0.4829133709271749
33,0.001,1.0027991026450114,0.10000000149011612,0.20961177349090576,0.7375178253650665,0.8049470388889313,0.545,0.5449946988467099,0.4833156801263492
34,0.001,0.9476012090209184,0.10750000178813934,0.24829158186912537,0.7571726214885711,0.8263552641868591,0.6,0.6070561944817812,0.5112850886583328
35,0.001,0.9942548265502711,0.10000000149011612,0.23816464841365814,0.7780976665019989,0.8395320677757263,0.4275,0.3984661958051511,0.45567735642194745
36,0.001,1.0693374166063443,0.10750000178813934,0.2514248192310333,0.805418496131897,0.8612427496910096,0.495,0.48845190023792984,0.48791425049304965
37,0.001,0.9088770743388279,0.0925000011920929,0.22741571068763733,0.7729812633991241,0.8369292914867401,0.5675,0.5501687129841616,0.4989764308929443
