epoch,lr,train_loss,val_det_acc@0.5,val_det_mean_iou,val_seg_mean_iou,val_seg_dice,val_cls_top1,val_cls_macro_f1,val_score
1,0.001,3.6632944003791565,0.2775000035762787,0.3536005914211273,0.44963666051626205,0.5707674658298493,0.1,0.03179016828868461,0.31608915646870933
2,0.001,3.095074448615882,0.2824999988079071,0.34372931718826294,0.36573944956064225,0.46539067924022676,0.105,0.07222441198062515,0.28429689268271124
3,0.001,2.7069854903372987,0.26249998807907104,0.34464970231056213,0.46113294422626494,0.5795807993412018,0.1575,0.06543038164260645,0.3331935958067576
4,0.001,2.437536564602214,0.2800000011920929,0.3474005460739136,0.4899421119689941,0.6054270392656327,0.255,0.20572383927500842,0.3801423468192418
5,0.001,2.163565614420897,0.32249999046325684,0.3545094430446625,0.5088810050487518,0.6273319047689437,0.3325,0.30718279134083537,0.4274439650774002
6,0.001,1.991688856653347,0.41499999165534973,0.4144487679004669,0.5652371859550476,0.6778973054885864,0.4025,0.39271058962847194,0.4984657657146454
7,0.001,1.769463684908144,0.4099999964237213,0.4212471842765808,0.5718841177225112,0.675946204662323,0.42,0.40981574519145064,0.5019820670286814
8,0.001,1.622780817329504,0.49000000953674316,0.4635648727416992,0.6677166664600372,0.7696372389793396,0.52,0.4958931036441351,0.5932124161720276
9,0.001,1.4232847326120752,0.36250001192092896,0.3785424828529358,0.5812618833780289,0.693177318572998,0.51,0.5123350622566665,0.5218924434979757
10,0.001,1.283969290317244,0.48249998688697815,0.46358200907707214,0.6725920140743256,0.7736356401443482,0.575,0.5600631143970728,0.6103785423437754
11,0.001,1.1668735666639487,0.574999988079071,0.5137579441070557,0.7332545685768127,0.8226176857948303,0.55,0.5544111668008636,0.6492058912913005
12,0.001,1.0831140999201756,0.5375000238418579,0.4951446056365967,0.7368897461891174,0.8319252324104309,0.655,0.6592585166099758,0.6748084187507629
13,0.001,0.9629636017759894,0.5049999952316284,0.4782629907131195,0.708279128074646,0.794111977815628,0.6275,0.6221439808430959,0.6422039910157521
14,0.001,0.9259949945340491,0.4724999964237213,0.4685420095920563,0.762544617652893,0.8518848299980164,0.7475,0.7461113708011704,0.6906282754739127
15,0.001,0.7988754858256905,0.5224999785423279,0.48420846462249756,0.7293736493587494,0.8138341283798218,0.6775,0.6831090555748925,0.6712780356407165
16,0.001,0.7461802310245053,0.6549999713897705,0.5569159984588623,0.7802530145645141,0.8571548938751221,0.6825,0.6797015358391103,0.7315516217549641
17,0.001,0.6696881627201274,0.5199999809265137,0.48046767711639404,0.7351684284210205,0.8182122087478638,0.665,0.6723617143150413,0.6677373965581258
18,0.001,0.5941576293319654,0.612500011920929,0.5327101349830627,0.8013084769248963,0.8703827643394471,0.725,0.7298720041706346,0.7359609254201254
19,0.001,0.5880880171705962,0.5899999737739563,0.5307574272155762,0.7756565749645233,0.8514922952651978,0.7725,0.7739036539537435,0.7379974230130513
20,0.001,0.5085170160812936,0.6000000238418579,0.5309143662452698,0.78947620511055,0.8560225582122802,0.7825,0.78126933660458,0.746174194018046
21,0.001,0.4822940848720301,0.5099999904632568,0.4711472690105438,0.7473158216476441,0.8197332215309143,0.7,0.7003312403805213,0.6765777373313903
22,0.001,0.4979381020281725,0.47999998927116394,0.4744202494621277,0.7652783536911011,0.8459222459793091,0.74,0.7418910091463828,0.6886407450834909
23,0.001,0.4386001657338659,0.5975000262260437,0.5314679145812988,0.8165744280815125,0.884771978855133,0.7725,0.7743725024790384,0.7515906683603922
24,0.001,0.3899040817739857,0.5174999833106995,0.48022347688674927,0.7679044580459595,0.8510749506950378,0.76,0.763279916468692,0.7095249780019124
25,0.001,0.3179631860582692,0.637499988079071,0.5436193346977234,0.7941426277160645,0.8667930030822754,0.785,0.7865027748222084,0.7630976637204488
26,0.001,0.3979968197975948,0.6100000143051147,0.5531219244003296,0.7933934307098389,0.8613381814956665,0.7975,0.7981740619699769,0.7562793986002604
27,0.001,0.310058246135332,0.675000011920929,0.566033124923706,0.8356210994720459,0.8976733613014222,0.79,0.790419157849332,0.787557791074117
28,0.001,0.29142365092115036,0.6499999761581421,0.5526432991027832,0.8099259114265442,0.8693651556968689,0.795,0.7948996150077852,0.7714550439516703
29,0.001,0.33521503134138264,0.625,0.5610311627388,0.8449856090545654,0.9076555275917053,0.81,0.8095154415783998,0.7808851758639017
30,0.001,0.29519617320246,0.6875,0.5841964483261108,0.8491792464256287,0.9060856509208679,0.8,0.8004753290003832,0.7978618836402894
31,0.001,0.2724362718071907,0.6600000262260437,0.56315678358078,0.8291487741470337,0.8893535971641541,0.8225,0.8222656185043711,0.7906178744633993
32,0.001,0.23141900677779678,0.6499999761581421,0.5629119277000427,0.8411608815193177,0.9042594909667969,0.8375,0.8389721461568962,0.797253155708313
33,0.001,0.1938577431260021,0.6025000214576721,0.5363471508026123,0.8026131129264832,0.8647658395767212,0.7925,0.7927729130586487,0.7532552870114645
34,0.001,0.2166157534737496,0.6200000047683716,0.543885350227356,0.8265091371536255,0.8918934488296508,0.795,0.7968412289096285,0.7689644845326741
35,0.001,0.22084328368495984,0.49000000953674316,0.4819922149181366,0.7837156844139099,0.8537592434883118,0.8,0.8027138062468703,0.7145864176750184
36,0.001,0.2248736262368928,0.5475000143051147,0.5003011226654053,0.7887619745731353,0.8509775710105896,0.805,0.8071552172848602,0.734492528438568
37,0.001,0.17670224051756464,0.6025000214576721,0.5410377979278564,0.8370055317878723,0.8989985966682434,0.8275,0.8264667142295433,0.7763328727086386
38,0.001,0.16340692208451071,0.5525000095367432,0.5052234530448914,0.7897071981430054,0.8584050178527832,0.81,0.8105639307874677,0.7403016757965087
